#{"t_start": 1743683177.9754236, "env_id": "None"}
r,l,t
1.9,20,23.360937
-2.5,20,23.383862
-4.3,20,23.408356
16.3,10,23.418796
16.7,5,23.429779
-15.7,20,23.449693
26.5,19,23.479552
0.1,20,23.50985
24.7,18,23.533284
-4.7,20,23.556779
7.1,20,23.578986
-14.9,20,23.605448
17.9,19,23.623482
-14.9,20,23.641025
-16.7,20,23.659714
-7.7,20,23.679622
16.1,12,23.697062
-6.1,20,23.719932
0.1,20,23.745616
3.1,20,23.779878
-16.7,20,23.804306
2.1,20,23.827491
21.1,13,23.843621
-1.9,20,23.870876
-26.1,20,23.89173
-6.5,20,23.913855
-7.9,20,23.932432
9.1,13,23.94495
-14.7,20,23.965639
8.1,20,23.987055
12.3,20,24.005401
15.2,8,24.01159
25.5,18,24.034645
-9.5,20,24.054837
13.1,16,24.069771
7.9,20,24.089556
3.5,20,24.124583
-9.7,20,24.144114
19.5,15,24.157238
-11.7,20,24.179902
-10.1,20,24.200513
0.1,20,24.223997
-0.1,20,24.250585
-19.3,20,24.281985
-7.1,20,24.307394
-5.9,20,24.329795
29.9,19,24.357658
-18.7,20,24.377648
-0.3,20,24.394825
20.7,20,24.41988
7.1,20,24.443865
8.3,20,24.466897
-3.9,20,24.494828
-9.9,20,24.524388
12.5,19,24.539715
5.3,20,24.559809
15.3,12,24.577964
3.1,20,24.598436
-13.9,20,24.614894
9.9,20,24.637484
2.7,20,24.657614
-7.9,20,24.672425
20.6,8,24.679689
-20.3,20,24.710278
21.3,11,24.725703
-13.5,20,24.750679
-21.9,20,24.778647
-15.9,20,24.807903
-19.1,20,24.834486
-16.1,20,24.85979
-4.9,20,24.879925
-27.9,20,24.899669
-14.7,20,24.923924
10.1,20,24.943608
-2.7,20,24.963664
2.9,20,24.986479
-22.9,20,25.008284
-11.7,20,25.032404
0.9,20,25.055233
-27.7,20,25.077928
-6.7,20,25.103502
-15.9,20,25.131603
-18.5,20,25.14996
5.9,20,25.179945
-18.5,20,25.201417
0.3,20,25.226035
-11.7,20,25.251913
22.3,14,25.270853
-3.9,20,25.319684
-12.9,20,25.347969
-6.3,20,25.375002
-15.1,20,25.399861
-3.1,20,25.424099
25.9,16,25.444654
-10.7,20,25.465867
-11.1,20,25.486895
-10.3,20,25.507572
-11.7,20,25.528153
10.9,16,25.539693
-21.9,20,25.565175
2.9,20,25.58998
-14.5,20,25.608046
5.1,20,25.62414
14.9,20,25.643527
24.5,13,25.654726
2.1,20,25.680155
