#{"t_start": 1743683711.9150567, "env_id": "None"}
r,l,t
21.7,20,29.858603
20.7,20,29.87263
28.7,20,29.888338
15.7,20,29.905238
33.3,20,29.920208
28.7,20,29.936214
22.1,20,29.955371
29.7,20,29.967859
19.9,20,29.983945
26.7,20,30.005149
29.7,20,30.022514
2.9,20,30.031747
21.7,20,30.047831
28.7,20,30.074984
22.9,20,30.099038
19.5,20,30.11115
19.7,20,30.126812
24.1,20,30.142705
37.7,16,30.158691
31.3,20,30.17687
31.1,19,30.190634
24.5,20,30.238138
26.3,20,30.254011
16.1,20,30.254011
25.5,20,30.269881
20.7,20,30.287628
25.3,20,30.307144
31.5,20,30.317673
7.5,20,30.344489
31.7,20,30.349507
21.7,20,30.375913
31.5,20,30.390524
24.9,20,30.405073
20.7,20,30.412581
30.9,20,30.428546
20.9,20,30.444498
18.1,20,30.46018
7.7,20,30.475865
23.3,20,30.491513
38.9,17,30.509724
9.3,20,31.413754
29.1,20,31.4253
21.1,20,31.436997
23.1,20,31.457549
23.7,20,31.483741
20.1,20,31.50043
31.7,20,31.517707
6.5,20,31.537389
19.5,20,31.560582
20.9,20,31.578462
24.3,20,31.61037
31.1,20,31.630105
28.5,20,31.644089
31.5,20,31.673591
10.5,20,31.689554
18.5,20,31.70606
26.3,20,31.723833
16.7,20,31.73757
14.3,20,31.753576
31.3,20,31.772709
12.7,20,31.785385
22.3,20,31.80142
23.1,20,31.817505
20.7,20,31.83539
11.7,20,31.849128
18.7,20,31.865273
11.7,20,31.865273
24.5,20,31.8814
26.5,20,31.906238
33.9,20,31.912791
27.3,20,31.928639
14.1,20,31.978911
27.1,20,32.01776
17.5,20,32.051251
21.5,20,32.070667
24.5,20,32.094682
18.3,20,32.110674
32.7,20,32.133032
15.1,20,32.157252
23.5,20,32.164789
18.3,20,32.196358
25.7,20,32.212208
23.1,20,32.228009
13.9,20,32.243807
27.7,20,32.259541
15.7,20,32.27535
19.1,20,32.27535
31.1,20,32.291409
14.7,20,32.306612
11.1,20,32.322615
28.5,20,32.338623
9.1,20,33.078334
35.7,20,33.099105
21.7,20,33.126699
20.5,20,33.14944
18.3,20,33.173673
31.3,20,33.196505
19.3,20,33.207406
31.1,20,33.222754
23.5,20,33.257532
33.1,20,33.279051
27.5,20,33.288655
31.9,20,33.307498
28.5,20,33.31653
31.7,20,33.332635
30.9,20,33.349284
25.9,20,33.366729
35.3,20,33.380382
18.3,20,33.396464
30.7,20,33.413103
29.9,20,33.430288
29.5,20,33.444077
23.7,20,33.460198
28.1,20,33.474245
23.7,20,33.477709
32.3,20,33.491515
29.5,20,33.507699
26.3,20,33.523418
26.1,20,33.540016
27.1,20,33.561291
29.1,20,33.570984
29.3,20,33.621763
29.7,20,33.640189
31.1,20,33.663595
25.9,20,33.68204
31.1,20,33.698115
35.3,20,33.70813
22.5,20,33.714182
27.5,20,33.730317
28.1,20,33.746448
29.9,20,33.762552
22.5,20,33.781706
17.9,20,33.796345
24.1,20,33.810732
33.5,20,33.824897
32.3,20,33.839569
22.1,20,33.845823
29.3,20,33.862495
16.9,20,33.879171
16.1,20,33.895798
31.7,20,33.910758
17.9,20,33.924927
28.1,20,33.939562
15.9,20,34.812294
27.1,20,34.842345
25.5,20,34.859546
30.7,20,34.875324
27.1,20,34.893729
31.1,20,34.91188
27.7,20,34.929254
27.7,20,34.937552
28.3,20,34.966169
27.3,20,34.986773
21.1,20,35.003412
27.9,20,35.016315
21.3,20,35.032095
24.3,20,35.047762
32.1,20,35.063425
22.7,20,35.079102
23.3,20,35.104315
33.3,20,35.109967
28.3,20,35.14137
29.9,20,35.164107
19.3,20,35.172215
32.5,20,35.206107
30.9,20,35.21953
28.7,20,35.235288
31.7,20,35.251135
36.7,20,35.267092
30.3,20,35.283143
27.5,20,35.299118
20.5,20,35.330986
12.9,20,35.346855
25.7,20,35.378377
